request_id,success,latency,prompt_tokens,generated_tokens,tokens_per_sec,ttft_ms,tbt_ms,tpot_ms,queue_waiting_before,queue_running_before,queue_waiting_after,queue_running_after,batch_size
4873,True,0.7959079742431641,0,96,120.61695963190625,34.552812576293945,8.014264859651265,8.290708065032959,0.0,0.0,0.0,0.0,0.0
4874,True,0.7233922481536865,0,97,134.0904609464271,50.7502555847168,7.006687422593434,7.45765204282151,0.0,0.0,0.0,0.0,0.0
4875,True,0.9867849349975586,0,77,78.03118721121386,313.3251667022705,8.861312740727476,12.81538876620206,0.0,0.0,0.0,5.0,5.0
4876,False,0.3519144058227539,0,0,0,0,0,0,0.0,6.0,0.0,20.0,20.0
4877,True,0.6387057304382324,0,32,50.10131970797252,33.393144607543945,19.52621244615124,19.959554076194763,0.0,31.0,0.0,28.0,28.0
4878,True,0.7802724838256836,0,78,99.96507837565314,141.85786247253418,8.29109897861233,10.003493382380558,0.0,27.0,0.0,34.0,34.0
4879,True,0.85906982421875,0,82,95.4520781527531,247.16758728027344,7.554348604178723,10.476461270960366,0.0,24.0,0.0,42.0,42.0
4880,True,0.9095549583435059,0,93,102.24780717964849,303.30872535705566,6.5896329672440235,9.780160842403289,0.0,32.0,0.0,61.0,61.0
4881,True,0.529977560043335,0,28,52.832425579887776,47.51777648925781,17.86888087237323,18.927770001547678,0.0,61.0,0.0,61.0,61.0
4882,True,0.7849154472351074,0,80,101.92180607707856,26.02529525756836,9.606204455411888,9.811443090438843,0.0,61.0,0.0,12.0,12.0
4883,True,0.6829543113708496,0,92,134.708864807273,37.29557991027832,7.095150895171113,7.423416427944018,0.0,17.0,0.0,8.0,8.0
4884,True,0.7545380592346191,0,91,120.60359167608813,67.47961044311523,7.633982764350043,8.291627024556254,0.0,7.0,0.0,2.0,2.0
4885,True,0.7328026294708252,0,99,135.09776851031543,39.267778396606445,7.076886235451211,7.402046762331568,0.0,3.0,0.0,3.0,3.0
4886,True,0.682826042175293,0,99,144.98568286091384,51.21350288391113,6.4450259111365495,6.897232749245384,0.0,4.0,0.0,2.0,2.0
4887,True,0.754737377166748,0,90,119.24677738613684,102.69570350646973,7.326310940003127,8.385970857408312,0.0,1.0,0.0,0.0,0.0
4888,True,0.7715237140655518,0,99,128.31750754402418,125.50568580627441,6.592020696523238,7.793168828944967,0.0,0.0,0.0,5.0,5.0
4889,True,0.7717175483703613,0,99,128.28527770174287,113.71421813964844,6.714319696231764,7.795126751215771,0.0,5.0,0.0,2.0,2.0
4890,True,0.7002565860748291,0,100,142.8047975393323,55.8927059173584,6.508726062196674,7.002565860748291,0.0,0.0,0.0,0.0,0.0
4891,True,0.724071741104126,0,100,138.10786186395222,78.70602607727051,6.518845606331873,7.24071741104126,0.0,0.0,0.0,0.0,0.0
4892,True,0.7029237747192383,0,100,142.26293603448252,59.4182014465332,6.50005629568389,7.029237747192383,0.0,0.0,0.0,0.0,0.0
4893,True,0.7188658714294434,0,100,139.1080088433646,105.194091796875,6.198704844773418,7.188658714294434,0.0,0.0,0.0,6.0,6.0
4894,True,0.7584879398345947,0,100,131.84125250799272,109.2689037322998,6.557768041437322,7.584879398345947,0.0,0.0,0.0,0.0,0.0
4895,True,0.7780148983001709,0,100,128.53224304378085,157.19175338745117,6.27094085770424,7.780148983001709,0.0,0.0,0.0,18.0,18.0
4896,True,0.6792740821838379,0,91,133.96654220552443,107.47623443603516,6.353309419420031,7.464550353668549,0.0,0.0,0.0,43.0,43.0
4897,True,0.961531400680542,0,99,102.9607560709207,354.68339920043945,6.192326545715332,9.712438390712546,0.0,41.0,0.0,53.0,53.0
4898,True,0.9707098007202148,0,99,101.98722617876865,366.4729595184326,6.1656820530794105,9.805149502224392,0.0,4.0,0.0,26.0,26.0
4899,True,0.7540199756622314,0,100,132.62248113808022,186.48743629455566,5.732651912804806,7.5401997566223145,0.0,4.0,0.0,2.0,2.0
4900,True,0.9436912536621094,0,100,105.9668611020159,155.78341484069824,7.958665038600112,9.436912536621094,0.0,0.0,0.0,0.0,0.0
4901,True,0.7431678771972656,0,100,134.5590990519308,117.94233322143555,6.315409535109395,7.431678771972656,0.0,0.0,0.0,15.0,15.0
4902,True,0.8297340869903564,0,100,120.52053973427061,157.87959098815918,6.786409050527245,8.297340869903564,0.0,0.0,0.0,0.0,0.0
4903,True,0.8102438449859619,0,100,123.41963548236836,191.63799285888672,6.248543960879547,8.10243844985962,0.0,0.0,0.0,10.0,10.0
4904,True,0.8956377506256104,0,99,110.5357606139845,112.17236518859863,7.994544749357263,9.046845965915256,0.0,0.0,0.0,0.0,0.0
4905,True,0.8321516513824463,0,99,118.96869979832661,58.45522880554199,7.89486145486637,8.405572236186327,0.0,0.0,0.0,0.0,0.0
4906,True,0.7400922775268555,0,100,135.11828597126706,61.32912635803223,6.85619344614973,7.400922775268555,0.0,0.0,0.0,1.0,1.0
4907,True,0.919564962387085,0,98,106.57213357238325,146.42810821533203,7.970483032698484,9.383315942725357,0.0,1.0,0.0,5.0,5.0
4908,True,0.7857999801635742,0,99,125.98625922514263,70.79625129699707,7.29595641700589,7.9373735370058,0.0,5.0,0.0,5.0,5.0
4909,True,0.7076847553253174,0,99,139.89279725898638,67.34824180603027,6.534046056319256,7.148330861871893,0.0,0.0,0.0,0.0,0.0
4910,True,0.7056074142456055,0,100,141.7218668357024,62.29686737060547,6.498086332070707,7.056074142456055,0.0,0.0,0.0,8.0,8.0
4911,True,0.8251705169677734,0,100,121.18707339116607,127.19464302062988,7.05026135300145,8.251705169677734,0.0,1.0,0.0,0.0,0.0
4912,True,0.7617714405059814,0,100,131.27297071360186,135.73145866394043,6.323636180222636,7.6177144050598145,0.0,0.0,0.0,24.0,24.0
4913,True,0.9040265083312988,0,100,110.61622538545404,259.1569423675537,6.513833999633789,9.040265083312988,0.0,0.0,0.0,6.0,6.0
4914,True,0.7792067527770996,0,100,128.33564345226623,136.81268692016602,6.488828948049834,7.792067527770996,0.0,0.0,0.0,0.0,0.0
4915,True,0.7466120719909668,0,100,133.9383647164091,100.61120986938477,6.525261233551333,7.466120719909668,0.0,0.0,0.0,0.0,0.0
4916,True,0.6880884170532227,0,100,145.3301603713308,50.493478775024414,6.440352911900992,6.880884170532227,0.0,0.0,0.0,5.0,5.0
4917,True,0.7466974258422852,0,99,132.58382388063896,23.59151840209961,7.378631708573322,7.542398240831163,0.0,0.0,0.0,0.0,0.0
4918,True,0.6832969188690186,0,100,146.3492622877889,42.34671592712402,6.4742444741605505,6.8329691886901855,0.0,0.0,0.0,0.0,0.0
4919,True,0.7312769889831543,0,100,136.74708968902561,44.69156265258789,6.935206326571378,7.312769889831543,0.0,0.0,0.0,2.0,2.0
4920,True,0.8126072883605957,0,100,123.06067325798443,101.58681869506836,7.182024946116438,8.126072883605957,0.0,2.0,0.0,1.0,1.0
4921,True,0.7331671714782715,0,100,136.39454123180644,91.07542037963867,6.485775263622553,7.331671714782715,0.0,2.0,0.0,2.0,2.0
4922,True,0.7475457191467285,0,100,133.77108240836836,87.72587776184082,6.664846882675633,7.475457191467285,0.0,0.0,0.0,0.0,0.0
4923,True,0.7803707122802734,0,100,128.14422482334854,136.95168495178223,6.499182094227184,7.803707122802734,0.0,0.0,0.0,0.0,0.0
4924,True,0.7636373043060303,0,100,130.95221964159657,119.44580078125,6.5069848840886895,7.636373043060303,0.0,0.0,0.0,3.0,3.0
4925,True,0.7846872806549072,0,98,124.89051679059752,125.28371810913086,6.797974871605942,8.007013067907216,0.0,0.0,0.0,0.0,0.0
4926,True,0.7381978034973145,0,97,131.40109539807494,35.404205322265625,7.320766647656758,7.610286633992932,0.0,0.0,0.0,0.0,0.0
4927,True,0.730017900466919,0,96,131.50362469002263,89.38288688659668,6.743526458740234,7.604353129863739,0.0,0.0,0.0,0.0,0.0
4928,True,0.7619245052337646,0,99,129.9341330013083,49.63326454162598,7.268277966246313,7.69620712357338,0.0,0.0,0.0,0.0,0.0
4929,True,0.7985084056854248,0,100,125.23349696508436,67.28816032409668,7.386063084457859,7.985084056854248,0.0,0.0,0.0,0.0,0.0
4930,True,0.760443925857544,0,100,131.50213526557022,64.53990936279297,7.029333499946979,7.6044392585754395,0.0,0.0,0.0,0.0,0.0
4931,True,0.7908370494842529,0,97,122.65485040598298,28.851747512817383,7.937346895535787,8.152959273033535,0.0,0.0,0.0,1.0,1.0
4932,True,0.6824488639831543,0,100,146.53112530123343,53.92098426818848,6.348766461767331,6.824488639831543,0.0,1.0,0.0,1.0,1.0
4933,True,0.66939377784729,0,100,149.38889979167564,39.191246032714844,6.365682139541164,6.6939377784729,0.0,0.0,0.0,0.0,0.0
4934,True,0.7396030426025391,0,97,131.15143450285612,33.80846977233887,7.352026800314586,7.624773635077722,0.0,0.0,0.0,0.0,0.0
4935,True,0.7131900787353516,0,99,138.81292372371408,244.00734901428223,4.787578874704789,7.203940189245976,0.0,0.0,0.0,1.0,1.0
4936,True,0.7501139640808105,0,100,133.31307613042503,27.849435806274414,7.295601295702385,7.5011396408081055,0.0,1.0,0.0,2.0,2.0
4937,True,0.6692960262298584,0,100,149.41071824869417,29.3121337890625,6.464483762028242,6.692960262298584,0.0,2.0,0.0,3.0,3.0
4938,True,0.8047173023223877,0,96,119.29655261909636,28.606414794921875,8.169588289762798,8.382471899191538,0.0,0.0,0.0,1.0,1.0
4939,True,0.7922606468200684,0,99,124.95887609382176,53.050994873046875,7.542955632112464,8.002632796162306,0.0,1.0,0.0,0.0,0.0
4940,True,0.8017008304595947,0,98,122.2401128658169,73.75741004943848,7.5045713444346,8.180620718975456,0.0,0.0,0.0,0.0,0.0
4941,True,0.7845964431762695,0,98,124.9049761215691,160.4757308959961,6.434234147219314,8.006086154859894,0.0,0.0,0.0,18.0,18.0
4942,True,0.7839398384094238,0,99,126.28520091652216,132.0509910583496,6.651927013786471,7.918584226357816,0.0,5.0,0.0,8.0,8.0
4943,True,0.781914472579956,0,100,127.89122532806722,127.54225730895996,6.609820356272688,7.8191447257995605,0.0,0.0,0.0,0.0,0.0
4944,True,0.7224380970001221,0,100,138.42016418464584,48.367977142333984,6.808789089472607,7.224380970001221,0.0,0.0,0.0,0.0,0.0
4945,True,0.7720925807952881,0,96,124.3374206511814,54.14152145385742,7.557379572015059,8.042631049950918,0.0,0.0,0.0,0.0,0.0
4946,True,0.7193982601165771,0,100,139.00506234723892,58.61663818359375,6.674561837706903,7.1939826011657715,0.0,0.0,0.0,0.0,0.0
4947,True,0.7532949447631836,0,99,131.42262627439115,93.92189979553223,6.728296377220932,7.609039846092764,0.0,0.0,0.0,0.0,0.0
4948,True,0.7512557506561279,0,98,130.44825269478372,38.632869720458984,7.346627638512051,7.665875006695183,0.0,0.0,0.0,0.0,0.0
4949,True,0.7952191829681396,0,99,124.49397866696889,33.905982971191406,7.768502040785187,8.032516999678178,0.0,0.0,0.0,0.0,0.0
4950,True,0.6788408756256104,0,100,147.30992724597112,37.79411315917969,6.475219822893239,6.7884087562561035,0.0,0.0,0.0,0.0,0.0
4951,True,0.6768918037414551,0,100,147.73409789756576,29.688119888305664,6.53741094801161,6.768918037414551,0.0,0.0,0.0,0.0,0.0
4952,True,0.6938965320587158,0,100,144.11370482471045,52.33287811279297,6.480440948948716,6.938965320587158,0.0,0.0,0.0,7.0,7.0
4953,True,0.719944953918457,0,100,138.89950815785048,58.220863342285156,6.684081722991635,7.19944953918457,0.0,0.0,0.0,0.0,0.0
4954,True,0.7446866035461426,0,100,134.28467696854943,69.49090957641602,6.820158524946733,7.446866035461426,0.0,0.0,0.0,0.0,0.0
4955,True,0.769925594329834,0,100,129.88268052972438,151.8716812133789,6.242968819358132,7.69925594329834,0.0,0.0,0.0,18.0,18.0
